,Type,Study,,,Templete data ,Age data,NOAA template,For J Morton to check,Uploaded to NCDC,Notes,Triple checked by CG and JR,Notes,,,,,,,,,,,,,,
Plant,SD,"Hu et al., 2015",,"Hu, J. J., Xing, Y. W., Turkington, R., Jacques, F. M. B., Su, T., Huang, Y. J., and Zhou, Z. K., 2015, A new positive relationship between pCO2 and stomatal frequency in Quercus guyavifolia (Fagaceae): A potential proxy for palaeo-CO2 levels: Annals of Botany, 115: 777-788.",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SI,"Hu et al., 2015",,"Hu, J. J., Xing, Y. W., Turkington, R., Jacques, F. M. B., Su, T., Huang, Y. J., and Zhou, Z. K., 2015, A new positive relationship between pCO2 and stomatal frequency in Quercus guyavifolia (Fagaceae): A potential proxy for palaeo-CO2 levels: Annals of Botany, 115: 777-788.",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SD,"Huang et al., 2016",,"Huang, H. S., Hu, J. J., Su, T., and Zhou, Z. K., 2016, The occurrence of Quercus heqingensis n. sp. and its application to palaeo-CO2 estimates: Chinese Science Bulletin, 61, 1354-1364 (in Chinese with English abstract).",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SI,"Huang et al., 2016",,"Huang, H. S., Hu, J. J., Su, T., and Zhou, Z. K., 2016, The occurrence of Quercus heqingensis n. sp. and its application to palaeo-CO2 estimates: Chinese Science Bulletin, 61, 1354-1364 (in Chinese with English abstract).",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,Franks,"Lei et al., 2018",,"Lei, X., Du, Z., Du, B., Zhang, M. and Sun, B., 2018. Middle Cretaceous pCO2 Variation in Yumen, Gansu Province and its Response to the Climate Events. Acta Geologica Sinica, 92(2): 801–813. https://doi.org/10.1111/1755-6724.13555.",X,X,Y,,,"Template complete, but data does not seem to match what is in publication; original data lost. ",,,,,,,,,,,,,,,,
Plant,Franks,"Li et al., 2019",,"Li, H., Yu, J., McElwain, J.C., Yiotis, C. and Chen, Z.-Q., 2019. Reconstruction of atmospheric CO2 concentration during the late Changhsingian based on fossil conifers from the Dalong Formation in South China. Palaeogeogr. Palaeocl., 519: 37-48. https://doi.org/10.1016/j.palaeo.2018.09.006.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SR,"Li et al., 2019",,"Li, H., Yu, J., McElwain, J.C., Yiotis, C. and Chen, Z.-Q., 2019. Reconstruction of atmospheric CO2 concentration during the late Changhsingian based on fossil conifers from the Dalong Formation in South China. Palaeogeogr. Palaeocl., 519: 37-48. https://doi.org/10.1016/j.palaeo.2018.09.006.",X,X,Y,,,Data in paper but no template done.,,,,,,,,,,,,,,,,
Plant,SR,"Li et al., 2022",,"Li, T., Yang, X.-J. and Zhu, Y.-B., 2022. Estimates of late Albian atmospheric CO2 based on stomata of Pseudofrenelopsis from Jilin Province, NE China. In: S.-C. Chang and D. Zheng (Editors), Mesozoic Biological Events and Ecosystems in East Asia. Geological Society of London, Special Papers, pp. 197–208. https://doi.org/10.1144/SP521-2021-139.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,Franks,"Liang et al., 2022",,"Liang, J.-q., Leng, Q., Xiao, L., Höfig, D.F., Royer, D.L., Zhang, Y.G. and Yang, H., 2022. Early Miocene redwood fossils from Inner Mongolia: CO2 reconstructions and paleoclimate effects of a low Mongolian plateau. Rev. Palaeobot. Palyno., 305: 104743. https://doi.org/10.1016/j.revpalbo.2022.104743.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
Plant,SI,"Liang et al., 2022",,"Liang, J.-q., Leng, Q., Xiao, L., Höfig, D.F., Royer, D.L., Zhang, Y.G. and Yang, H., 2022. Early Miocene redwood fossils from Inner Mongolia: CO2 reconstructions and paleoclimate effects of a low Mongolian plateau. Rev. Palaeobot. Palyno., 305: 104743. https://doi.org/10.1016/j.revpalbo.2022.104743.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
Plant,SR,"Mays et al., 2015",,"Mays, C., Steinthorsdottir, M. and Stilwell, J.D., 2015. Climatic implications of Ginkgoites waarrensis Douglas emend. from the south polar Tupuangi flora, Late Cretaceous (Cenomanian), Chatham Islands. Palaeogeogr. Palaeocl., 438: 308-326. https://doi.org/10.1016/j.palaeo.2015.08.011.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
Plant,SR,"McElwain et al., 1999",,"McElwain, J.C., Beerling, D.J. and Woodward, F.I., 1999. Fossil plants and global warming at the Triassic-Jurassic boundary. Science, 285(5432): 1386–1390. https://doi.org/10.1126/science.285.5432.1386.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
Plant,SR,"McElwain et al., 2002",,"McElwain, J.C., Mayle, F.E. and Beerling, D.J., 2002. Stomatal evidence for a decline in atmospheric CO2 concentration during the Younger Dryas stadial: a comparison with Antarctic ice core records. Journal of Quaternary Science, 17(1): 21–29. https://doi.org/10.1002/jqs.664.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
