,Type,Study,,,Templete data ,Age data,NOAA template,For J Morton to check,Uploaded to NCDC,Notes,Triple checked by CG and JR,Notes,,,,,,,,,,,,,,
Paleosol,Paleosol,"Hyland et al., 2013",Hyland_2013b,"Hyland, E., Sheldon, N.D. and Fan, M., 2013. Terrestrial paleoenvironmental reconstructions indicate transient peak warming during the early Eocene climatic optimum. Geol. Soc. Am. Bull., 125(7–8): 1338–1348. https://doi.org/10.1130/B30761.1.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Joachimski et al., 2022",,"Joachimski, M.M., Müller, J., Gallagher, T.M., Mathes, G., Chu, D.L., Mouraviev, F., Silantiev, V., Sun, Y.D. and Tong, J.N., 2022. Five million years of high atmospheric CO2 in the aftermath of the Permian-Triassic mass extinction. Geology, 50(6): 650–654. https://doi.org/10.1130/G49714.1.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Lee , 1999",Lee_1999a,"Lee, Y.I., 1999. Stable isotopic composition of calcic paleosols of the Early Cretaceous Hasandong Formation, southeastern Korea. Palaeogeogr. Palaeocl., 150(1): 123-133. https://doi.org/10.1016/S0031-0182(99)00010-3.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Lee and Hisada, 1999",Lee_1999b,"Lee, Y.I. and Hisada, K.-i., 1999. Stable isotopic composition of pedogenic carbonates of the Early Cretaceous Shimonoseki Subgroup, western Honshu, Japan. Palaeogeogr. Palaeocl., 153(1): 127-138. https://doi.org/10.1016/S0031-0182(99)00069-3.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Leier et al., 2009",,"Leier, A., Quade, J., DeCelles, P. and Kapp, P., 2009. Stable isotopic results from paleosol carbonate in South Asia: Paleoenvironmental reconstructions and selective alteration. Earth Planet. Sci. Lett., 279(3): 242–254. https://doi.org/10.1016/j.epsl.2008.12.044.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Li et al., 2014",,"Li, X., Jenkyns, H.C., Zhang, C., Wang, Y., Liu, L. and Cao, K., 2014. Carbon isotope signatures of pedogenic carbonates from SE China: rapid atmospheric pCO2 changes during middle–late early Cretaceous time. Geol. Mag., 151(5): 830–849. https://doi.org/10.1017/S0016756813000897.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Li et al., 2016",,"Li, J., Wen, X.Y. and Huang, C.M., 2016. Lower Cretaceous paleosols and paleoclimate in Sichuan Basin, China. Cretaceous Res., 62: 154–171. https://doi.org/10.1016/j.cretres.2015.10.002.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Li et al., 2020",Li_2020a,"Li, X., Wang, J., Rasbury, T., Zhou, M., Wei, Z. and Zhang, C., 2020. Early Jurassic climate and atmospheric CO2 concentration in the Sichuan paleobasin, southwestern China. Clim. Past., 16(6): 2055–2074. https://doi.org/10.5194/cp-16-2055-2020.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Li et al., 2020",Li_2020b,"Li, J., Wen, X. and Huang, C., 2020. Lower and upper Cretaceous paleosols in the western Sichuan Basin, China: Implications for regional paleoclimate. Geol. J., 55(1): 390-408. https://doi.org/10.1002/gj.3423.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Li et al., 2022",,"Li, J., Wen, X., Pan, Y. and Huang, C., 2022. Multiproxy Paleosol Evidence for Jurassic Paleoclimate Fluctuations in the Sichuan Basin, SW China. Acta Geologica Sinica, 96(6): 2105–2124. https://doi.org/10.1111/1755-6724.14962.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Ludvigson et al., 2015",,"Ludvigson, G.A., Joeckel, R.M., Murphy, L.R., Stockli, D.F., González, L.A., Suarez, C.A., Kirkland, J.I. and Al-Suwaidi, A., 2015. The emerging terrestrial record of Aptian-Albian global change. Cretaceous Res., 56: 1–24. https://doi.org/10.1016/j.cretres.2014.11.008.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Menezes et al., 2022",,"Menezes, M.N., Dal' Bó, P.F., Smith, J.J., Rodrigues, A.G. and Rodríguez-Berriguete, Á., 2022. Maastrichtian atmospheric pCO2 and climatic reconstruction from carbonate paleosols of the Marília Formation (southeastern Brazil). J. Sediment. Res., 92(9): 775–796. https://doi.org/10.2110/jsr.2021.060.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Montañez et al., 2007",,"Montañez, I.P., Tabor, N.J., Niemeier, D., DiMichele, W.A., Frank, T.D., Fielding, C.R., Isbell, J.L., Birgenheier, L.P. and Rygel, M.C., 2007. CO2-forced climate and vegetation instability during Late Paleozoic deglaciation. Science, 315(5808): 87–91. https://doi.org/10.1126/science.1134207.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Montañez et al., 2016",,"Montañez, I.P., McElwain, J.C., Poulsen, C.J., White, J.D., Dimichele, W.A., Wilson, J.P., Griggs, G. and Hren, M.T., 2016. Climate, pCO2 and terrestrial carbon cycle linkages during late Palaeozoic glacial-interglacial cycles. Nat. Geosci., 9(11): 824–828. https://doi.org/10.1038/ngeo2822.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Mora et al., 1996",,"Mora, C.I., Driese, S.G. and Colarusso, L.A., 1996. Middle to late Paleozoic atmospheric CO2 levels from soil carbonate and organic matter. Science, 271(5252): 1105–1107. https://doi.org/10.1126/science.271.5252.1105.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Nordt et al., 2002",,"Nordt, L., Atchley, S. and Dworkin, S.I., 2002. Paleosol barometer indicates extreme fluctuations in atmospheric CO2 across the Cretaceous-Tertiary boundary. Geology, 30(8): 703–706. https://doi.org/10.1130/0091-7613(2002)030<0703:PBIEFI>2.0.CO;2.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Nordt et al., 2003",,"Nordt, L., Atchley, S. and Dworkin, S.I., 2003. Terrestrial evidence for two greenhouse events in the latest Cretaceous. GSA today, 13(12): 4–9. https://doi.org/10.1130/1052-5173(2003)013<4:TEFTGE>2.0.CO;2.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Nordt et al., 2015",,"Nordt, L., Atchley, S. and Dworkin, S.I., 2015. Collapse of the Late Triassic megamonsoon in western equatorial Pangea, present-day American Southwest. Geol. Soc. Am. Bull., 127(11–12): 1798–1815. https://doi.org/10.1130/b31186.1.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Orr et al., 2022",,"Orr, T.J., Wurster, C.M., Roberts, E.M., Singleton, R.E., Stevens, N.J. and O'Connor, P.M., 2022. Paleoatmospheric CO2 oscillations through a cool middle/Late Cretaceous recorded from pedogenic carbonates in Africa. Cretaceous Res., 135. https://doi.org/10.1016/j.cretres.2022.105191.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Richey et al., 2024 (unpublished)",,"Richey, J.D., Colombi, C.E., Porter, A.S., Montañez, I.P., Kürschner, W.M. and McElwain, J.C., 2024 (In prep). Beyond the major events: A critical reappraisal of CO2 during a poorly characterized Late Triassic interval. Geology.",X,Y,Y,X,,"Needs to be updated post submission, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Robinson et al., 2002",,"Robinson, S.A., Andrews, J.E., Hesselbo, S.P., Radley, J.D., Dennis, P., Harding, I.C. and Perce, A., 2002. Atmospheric pCO2 and depositional environment from stable-isotope geochemistry of calcrete nodules (Barremian, Lower Cretaceous, Wealden Beds, England). J. Geol. Soc. London, 159(2): 215–224. https://doi.org/10.1144/0016-764901-015.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Roy et al., 2021",,"Roy, S., Sanyal, P., Ghosh, P., Bhattacharya, S.K. and Ajay, A., 2021. Atmospheric CO2 estimates based on Gondwanan (Indian) pedogenic carbonates reveal positive linkage with Mesozoic temperature variations. Palaeogeogr. Palaeocl., 582. https://doi.org/10.1016/j.palaeo.2021.110638.",Y,X?,Y,,,"Fixed errors identified by J. Morton. Double checked. No age data done, though there is age data in the template.",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Sandler et al., 2006",,"Sandler, A., 2006. Estimates of atmospheric CO2 levels during the mid-Turonian derived from stable isotope composition of paleosol calcite from Israel. In: A.M. Alonso-Zarza and L.H. Tanner (Editors), Paleoenvironmental Record and Applications of Calcretes and Palustrine Carbonates. Geological Society of America, pp. 0. https://doi.org/10.1130/2006.2416(05).",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Shaller et al., 2011",,"Schaller, M.F., Wright, J.D. and Kent, D.V., 2011. Atmospheric pCO2 Perturbations Associated with the Central Atlantic Magmatic Province. Science, 331(6023): 1404–1409. https://doi.org/10.1126/science.1199011.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Shaller et al., 2012",,"Schaller, M.F., Wright, J.D., Kent, D.V. and Olsen, P.E., 2012. Rapid emplacement of the Central Atlantic Magmatic Province as a net sink for CO2. Earth Planet. Sci. Lett., 323–324: 27–39. https://doi.org/10.1016/j.epsl.2011.12.028.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Shaller et al., 2015",,"Schaller, M.F., Wright, J.D. and Kent, D.V., 2015. A 30 Myr record of Late Triassic atmospheric pCO2 variation reflects a fundamental control of the carbon cycle by changes in continental weathering. Geol. Soc. Am. Bull., 127(5–6): 661–671. https://doi.org/10.1130/B31107.1.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Suarez et al., 2024 (unpublished)",,??????,X,Y,Y,X,,"Needs to be updated post submission, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Tanner et al., 2001",,"Tanner, L.H., Hubert, J.F., Coffey, B.P. and McInerney, D.P., 2001. Stability of atmospheric CO2 levels across the Triassic/Jurassic boundary. Nature, 411(6838): 675–677. https://doi.org/10.1038/35079548.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Whiteside et al., 2015",,"Whiteside, J.H., Lindström, S., Irmis, R.B., Glasspool, I.J., Schaller, M.F., Dunlavey, M., Nesbitt, S.J., Smith, N.D. and Turner, A.H., 2015. Extreme ecosystem instability suppressed tropical dinosaur dominance for 30 million years. Proc. Natl. Acad. Sci. U.S.A., 112(26): 7909–7913. https://doi.org/10.1073/pnas.1505252112.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Zhu and Tabor, 2021",,"Zhu, L. and Tabor, N.J., 2021. Verification of regional-to-global scale environmental factors in paleosol stable carbon isotope ratios through the lower Permian succession of north-central Texas, U.S.A. Palaeogeogr. Palaeocl., 582: 110646. https://doi.org/10.1016/j.palaeo.2021.110646.",Y,X?,Y,,,Fixed errors identified by J. Morton. Double checked. Age data done? No section or stratigraphic information,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
